Date,State,Vehicle_Category,EV_Sold,Total_Vehicles Sold,Non_EV_Sold,Year,Months,Month_name,Fiscal_Year,Fiscal_Quarter
1/04/2021,Sikkim,2-Wheelers,0,398,398,2021,4,Apr,FY2022,Q1
1/04/2021,Sikkim,4-Wheelers,0,361,361,2021,4,Apr,FY2022,Q1
1/05/2021,Sikkim,2-Wheelers,0,113,113,2021,5,May,FY2022,Q1
1/05/2021,Sikkim,4-Wheelers,0,98,98,2021,5,May,FY2022,Q1
1/06/2021,Sikkim,2-Wheelers,0,229,229,2021,6,Jun,FY2022,Q1
1/06/2021,Sikkim,4-Wheelers,0,244,244,2021,6,Jun,FY2022,Q1
1/07/2021,Sikkim,2-Wheelers,0,458,458,2021,7,Jul,FY2022,Q2
1/07/2021,Sikkim,4-Wheelers,0,452,452,2021,7,Jul,FY2022,Q2
1/08/2021,Sikkim,2-Wheelers,0,489,489,2021,8,Aug,FY2022,Q2
1/08/2021,Sikkim,4-Wheelers,0,408,408,2021,8,Aug,FY2022,Q2
1/09/2021,Sikkim,2-Wheelers,0,540,540,2021,9,Sep,FY2022,Q2
1/09/2021,Sikkim,4-Wheelers,0,355,355,2021,9,Sep,FY2022,Q2
1/10/2021,Sikkim,2-Wheelers,0,455,455,2021,10,Oct,FY2022,Q3
1/10/2021,Sikkim,4-Wheelers,0,345,345,2021,10,Oct,FY2022,Q3
1/11/2021,Sikkim,2-Wheelers,0,478,478,2021,11,Nov,FY2022,Q3
1/11/2021,Sikkim,4-Wheelers,0,351,351,2021,11,Nov,FY2022,Q3
1/12/2021,Sikkim,2-Wheelers,0,454,454,2021,12,Dec,FY2022,Q3
1/12/2021,Sikkim,4-Wheelers,0,394,394,2021,12,Dec,FY2022,Q3
1/01/2022,Sikkim,2-Wheelers,0,400,400,2022,1,Jan,FY2022,Q4
1/01/2022,Sikkim,4-Wheelers,0,270,270,2022,1,Jan,FY2022,Q4
1/02/2022,Sikkim,2-Wheelers,0,384,384,2022,2,Feb,FY2022,Q4
1/02/2022,Sikkim,4-Wheelers,0,371,371,2022,2,Feb,FY2022,Q4
1/03/2022,Sikkim,2-Wheelers,0,460,460,2022,3,Mar,FY2022,Q4
1/03/2022,Sikkim,4-Wheelers,0,390,390,2022,3,Mar,FY2022,Q4
1/04/2022,Sikkim,2-Wheelers,0,455,455,2022,4,Apr,FY2023,Q1
1/04/2022,Sikkim,4-Wheelers,0,380,380,2022,4,Apr,FY2023,Q1
1/05/2022,Sikkim,2-Wheelers,0,461,461,2022,5,May,FY2023,Q1
1/05/2022,Sikkim,4-Wheelers,0,421,421,2022,5,May,FY2023,Q1
1/06/2022,Sikkim,2-Wheelers,0,429,429,2022,6,Jun,FY2023,Q1
1/06/2022,Sikkim,4-Wheelers,0,446,446,2022,6,Jun,FY2023,Q1
1/07/2022,Sikkim,2-Wheelers,0,409,409,2022,7,Jul,FY2023,Q2
1/07/2022,Sikkim,4-Wheelers,0,439,439,2022,7,Jul,FY2023,Q2
1/08/2022,Sikkim,2-Wheelers,0,394,394,2022,8,Aug,FY2023,Q2
1/08/2022,Sikkim,4-Wheelers,0,421,421,2022,8,Aug,FY2023,Q2
1/09/2022,Sikkim,2-Wheelers,0,443,443,2022,9,Sep,FY2023,Q2
1/09/2022,Sikkim,4-Wheelers,0,581,581,2022,9,Sep,FY2023,Q2
1/10/2022,Sikkim,2-Wheelers,0,371,371,2022,10,Oct,FY2023,Q3
1/10/2022,Sikkim,4-Wheelers,0,340,340,2022,10,Oct,FY2023,Q3
1/11/2022,Sikkim,2-Wheelers,0,431,431,2022,11,Nov,FY2023,Q3
1/11/2022,Sikkim,4-Wheelers,0,411,411,2022,11,Nov,FY2023,Q3
1/12/2022,Sikkim,2-Wheelers,0,274,274,2022,12,Dec,FY2023,Q3
1/12/2022,Sikkim,4-Wheelers,0,288,288,2022,12,Dec,FY2023,Q3
1/01/2023,Sikkim,2-Wheelers,0,470,470,2023,1,Jan,FY2023,Q4
1/01/2023,Sikkim,4-Wheelers,0,420,420,2023,1,Jan,FY2023,Q4
1/02/2023,Sikkim,2-Wheelers,0,324,324,2023,2,Feb,FY2023,Q4
1/02/2023,Sikkim,4-Wheelers,0,364,364,2023,2,Feb,FY2023,Q4
1/03/2023,Sikkim,2-Wheelers,0,454,454,2023,3,Mar,FY2023,Q4
1/03/2023,Sikkim,4-Wheelers,0,505,505,2023,3,Mar,FY2023,Q4
1/04/2023,Sikkim,2-Wheelers,0,465,465,2023,4,Apr,FY2024,Q1
1/04/2023,Sikkim,4-Wheelers,0,439,439,2023,4,Apr,FY2024,Q1
1/05/2023,Sikkim,2-Wheelers,0,507,507,2023,5,May,FY2024,Q1
1/05/2023,Sikkim,4-Wheelers,0,448,448,2023,5,May,FY2024,Q1
1/06/2023,Sikkim,2-Wheelers,0,517,517,2023,6,Jun,FY2024,Q1
1/06/2023,Sikkim,4-Wheelers,0,457,457,2023,6,Jun,FY2024,Q1
1/07/2023,Sikkim,2-Wheelers,0,423,423,2023,7,Jul,FY2024,Q2
1/07/2023,Sikkim,4-Wheelers,0,371,371,2023,7,Jul,FY2024,Q2
1/08/2023,Sikkim,2-Wheelers,0,465,465,2023,8,Aug,FY2024,Q2
1/08/2023,Sikkim,4-Wheelers,0,460,460,2023,8,Aug,FY2024,Q2
1/09/2023,Sikkim,2-Wheelers,0,546,546,2023,9,Sep,FY2024,Q2
1/09/2023,Sikkim,4-Wheelers,0,509,509,2023,9,Sep,FY2024,Q2
1/10/2023,Sikkim,2-Wheelers,0,398,398,2023,10,Oct,FY2024,Q3
1/10/2023,Sikkim,4-Wheelers,0,389,389,2023,10,Oct,FY2024,Q3
1/11/2023,Sikkim,2-Wheelers,0,470,470,2023,11,Nov,FY2024,Q3
1/11/2023,Sikkim,4-Wheelers,0,403,403,2023,11,Nov,FY2024,Q3
1/12/2023,Sikkim,2-Wheelers,0,365,365,2023,12,Dec,FY2024,Q3
1/12/2023,Sikkim,4-Wheelers,0,318,318,2023,12,Dec,FY2024,Q3
1/01/2024,Sikkim,2-Wheelers,0,509,509,2024,1,Jan,FY2024,Q4
1/01/2024,Sikkim,4-Wheelers,0,422,422,2024,1,Jan,FY2024,Q4
1/02/2024,Sikkim,2-Wheelers,0,408,408,2024,2,Feb,FY2024,Q4
1/02/2024,Sikkim,4-Wheelers,0,375,375,2024,2,Feb,FY2024,Q4
1/03/2024,Sikkim,2-Wheelers,0,399,399,2024,3,Mar,FY2024,Q4
1/03/2024,Sikkim,4-Wheelers,0,455,455,2024,3,Mar,FY2024,Q4
1/04/2021,Andaman & Nicobar Island,2-Wheelers,0,515,515,2021,4,Apr,FY2022,Q1
1/04/2021,Arunachal Pradesh,2-Wheelers,0,1256,1256,2021,4,Apr,FY2022,Q1
1/04/2021,Arunachal Pradesh,4-Wheelers,0,724,724,2021,4,Apr,FY2022,Q1
1/04/2021,Assam,4-Wheelers,0,6576,6576,2021,4,Apr,FY2022,Q1
1/04/2021,Chhattisgarh,4-Wheelers,0,1563,1563,2021,4,Apr,FY2022,Q1
1/04/2021,DNH and DD,4-Wheelers,0,278,278,2021,4,Apr,FY2022,Q1
1/04/2021,Jammu and Kashmir,4-Wheelers,0,5107,5107,2021,4,Apr,FY2022,Q1
1/04/2021,Ladakh,2-Wheelers,0,2,2,2021,4,Apr,FY2022,Q1
1/04/2021,Ladakh,4-Wheelers,0,20,20,2021,4,Apr,FY2022,Q1
1/04/2021,Manipur,4-Wheelers,0,808,808,2021,4,Apr,FY2022,Q1
1/04/2021,Meghalaya,2-Wheelers,0,1189,1189,2021,4,Apr,FY2022,Q1
1/04/2021,Mizoram,2-Wheelers,0,1507,1507,2021,4,Apr,FY2022,Q1
1/04/2021,Mizoram,4-Wheelers,0,281,281,2021,4,Apr,FY2022,Q1
1/04/2021,Nagaland,2-Wheelers,0,561,561,2021,4,Apr,FY2022,Q1
1/04/2021,Nagaland,4-Wheelers,0,747,747,2021,4,Apr,FY2022,Q1
1/04/2021,Puducherry,4-Wheelers,0,655,655,2021,4,Apr,FY2022,Q1
1/04/2021,Tripura,2-Wheelers,0,2906,2906,2021,4,Apr,FY2022,Q1
1/04/2021,Tripura,4-Wheelers,0,289,289,2021,4,Apr,FY2022,Q1
1/05/2021,Andaman & Nicobar Island,2-Wheelers,0,4,4,2021,5,May,FY2022,Q1
1/05/2021,Andaman & Nicobar Island,4-Wheelers,0,1,1,2021,5,May,FY2022,Q1
1/05/2021,Arunachal Pradesh,2-Wheelers,0,552,552,2021,5,May,FY2022,Q1
1/05/2021,Arunachal Pradesh,4-Wheelers,0,302,302,2021,5,May,FY2022,Q1
1/05/2021,Assam,2-Wheelers,0,14723,14723,2021,5,May,FY2022,Q1
1/05/2021,Assam,4-Wheelers,0,3295,3295,2021,5,May,FY2022,Q1
1/05/2021,Bihar,4-Wheelers,0,2249,2249,2021,5,May,FY2022,Q1
1/05/2021,Chandigarh,2-Wheelers,0,411,411,2021,5,May,FY2022,Q1
1/05/2021,Chhattisgarh,4-Wheelers,0,1387,1387,2021,5,May,FY2022,Q1
1/05/2021,DNH and DD,2-Wheelers,0,452,452,2021,5,May,FY2022,Q1
1/05/2021,DNH and DD,4-Wheelers,0,202,202,2021,5,May,FY2022,Q1
1/05/2021,Delhi,2-Wheelers,0,22,22,2021,5,May,FY2022,Q1
1/05/2021,Delhi,4-Wheelers,0,21,21,2021,5,May,FY2022,Q1
1/05/2021,Jammu and Kashmir,4-Wheelers,0,2372,2372,2021,5,May,FY2022,Q1
1/05/2021,Ladakh,2-Wheelers,0,11,11,2021,5,May,FY2022,Q1
1/05/2021,Ladakh,4-Wheelers,0,70,70,2021,5,May,FY2022,Q1
1/05/2021,Madhya Pradesh,4-Wheelers,0,195,195,2021,5,May,FY2022,Q1
1/05/2021,Manipur,2-Wheelers,0,288,288,2021,5,May,FY2022,Q1
1/05/2021,Manipur,4-Wheelers,0,9,9,2021,5,May,FY2022,Q1
1/05/2021,Meghalaya,2-Wheelers,0,332,332,2021,5,May,FY2022,Q1
1/05/2021,Mizoram,2-Wheelers,0,15,15,2021,5,May,FY2022,Q1
1/05/2021,Mizoram,4-Wheelers,0,4,4,2021,5,May,FY2022,Q1
1/05/2021,Nagaland,2-Wheelers,0,125,125,2021,5,May,FY2022,Q1
1/05/2021,Nagaland,4-Wheelers,0,126,126,2021,5,May,FY2022,Q1
1/05/2021,Odisha,4-Wheelers,0,722,722,2021,5,May,FY2022,Q1
1/05/2021,Punjab,4-Wheelers,0,5202,5202,2021,5,May,FY2022,Q1
1/05/2021,Tripura,2-Wheelers,0,2063,2063,2021,5,May,FY2022,Q1
1/05/2021,Tripura,4-Wheelers,0,192,192,2021,5,May,FY2022,Q1
1/05/2021,Uttarakhand,4-Wheelers,0,1145,1145,2021,5,May,FY2022,Q1
1/06/2021,Andaman & Nicobar Island,2-Wheelers,0,2,2,2021,6,Jun,FY2022,Q1
